Date,Open,High,Low,Close,Adj Close,Volume
2017-11-17,10324.549805,10343.599609,10268.049805,10283.599609,10283.599609,203300
2017-11-20,10287.200195,10309.849609,10261.500000,10298.750000,10298.750000,147200
2017-11-21,10329.250000,10358.700195,10315.049805,10326.900391,10326.900391,186100
2017-11-22,10350.799805,10368.700195,10309.549805,10342.299805,10342.299805,157600
2017-11-23,10358.450195,10374.299805,10307.299805,10348.750000,10348.750000,153000
2017-11-24,10366.799805,10404.500000,10362.250000,10389.700195,10389.700195,129200
2017-11-27,10361.049805,10407.150391,10340.200195,10399.549805,10399.549805,141900
2017-11-28,10387.900391,10409.549805,10355.200195,10370.250000,10370.250000,196000
2017-11-29,10376.650391,10392.950195,10345.900391,10361.299805,10361.299805,152500
2017-11-30,10332.700195,10332.700195,10211.250000,10226.549805,10226.549805,342500
2017-12-01,10263.700195,10272.700195,10108.549805,10121.799805,10121.799805,143400
2017-12-04,10175.049805,10179.200195,10095.700195,10127.750000,10127.750000,148600
2017-12-05,10118.250000,10147.950195,10069.099609,10118.250000,10118.250000,155500
2017-12-06,10088.799805,10104.200195,10033.349609,10044.099609,10044.099609,166100
2017-12-07,10063.450195,10182.650391,10061.900391,10166.700195,10166.700195,166200
2017-12-08,10198.450195,10270.849609,10195.250000,10265.650391,10265.650391,200000
2017-12-11,10310.500000,10329.200195,10282.049805,10322.250000,10322.250000,147400
2017-12-12,10324.900391,10326.099609,10230.200195,10240.150391,10240.150391,175100
2017-12-13,10236.599609,10296.549805,10169.849609,10192.950195,10192.950195,181600
2017-12-14,10229.299805,10276.099609,10141.549805,10252.099609,10252.099609,154300
2017-12-15,10345.650391,10373.099609,10319.650391,10333.250000,10333.250000,0
